JD,Magnitude,Uncertainty
2459035.841,1.951,0.002
2459035.841,1.315,0.005
2459036.81,1.997,0.009
2459036.81,1.328,0.01
2459037.799,2.009,0.005
2459037.8,1.335,0.002
2459039.827,1.956,0.006
2459039.827,1.304,0.01
2459039.878,0.871,0.003
2459039.879,0.65,0.002
2459041.808,2.017,0.004
2459041.808,1.354,0.005
2459041.839,0.868,0.005
2459041.839,0.648,0.015
2459043.781,1.961,0.009
2459043.782,1.323,0.006
2459046.815,1.997,0.003
2459046.816,1.343,0.006
2459047.751,1.964,0.008
2459047.751,1.327,0.004
2459051.802,1.956,0.005
2459051.803,1.318,0.005
2459054.446,2,
2459063.702,1.955,0.005
2459063.703,1.314,0.009
2459068.803,1.986,0.002
2459068.804,1.339,0.005
2459070.801,1.969,0.004
2459070.802,1.327,0.012
2459076.771,1.987,0.002
2459076.772,1.353,0.006
2459096.782,1.994,0.003
2459096.783,1.348,0.007
2459172.463,1.997,0.005
2459182.681,0.924,0.008
2459182.682,0.686,0.012
2459185.645,0.927,0.005
2459185.645,0.631,0.004
2459186.637,0.89,0.013
2459186.638,0.649,0.005
2459188.643,0.935,0.002
2459188.643,0.677,0.005
2459345.776,1.973,0.004
2459347.759,2.013,0.002
2459349.807,1.948,0.007
2459350.755,1.986,0.001
2459351.758,2.028,0.002
2459369.135,2,
2459382.784,2.003,0.004
2459383.783,2.013,0.005
2459384.782,1.959,0.002
2459388.868,1.953,0.007
2459389.806,1.978,0.004
2459391.759,2.011,0.006
2459392.756,1.982,0.003
2459393.751,1.968,0.003
2459394.748,2.01,0.003
2459398.877,2.013,0.002
2459406.856,2.015,0.002
2459412.864,1.947,0.006
2459413.433,1.86,0.05
2459414.435,1.97,0.05
2459419.847,1.981,0.004
2459768.78,2.053,0.006
2459769.775,1.991,0.001
2459770.732,1.955,0.004
2459771.817,2,0.001
2459805.745,1.986,0.006
2459806.781,1.966,0.001
2459807.856,1.997,0.008
2459808.782,2.026,0.004
2459826.779,1.97,0.01
2459828.764,2.019,0.001
2459830.761,1.962,0.006
2459831.735,2.01,0.007
2459866.721,1.971,0.009
2459867.729,2.009,0.003
2459868.71,2.009,0.004
2459869.711,1.957,0.007
2459920.745,1.973,0.005
2459964.712,1.965,0.001
2459969.696,1.966,0.003
2459987.626,2.004,0.004
2460125.774,2.014,0.003
2460126.806,1.997,0.003
2460127.751,1.961,0.003
2460128.718,1.964,0.009
2460136.769,1.96,0.003
2460164.802,1.978,0.002
2460170.854,1.981,0.006
2460171.717,1.961,0.005
2460201.734,1.991,0.009
2460202.784,1.963,0.007
2460218.642,1.975,0.008
2460219.635,1.926,0.001
2460226.63,1.971,0.006
2460237.631,2.004,0.002
2460240.996,1.999,0.003
2460246.987,1.938,0.001
2460247.987,1.952,0.01
2460257.652,2.001,0.008
2460268.871,1.995,0.008
2460273.731,1.989,0.003
2460274.721,1.956,0.009
2460275.778,1.946,0.005
2460385.677,1.956,0.007
2460387.681,1.983,0.005
2460394.72,1.946,0.003
2460467.735,2.015,0.001
2460468.731,1.989,0.008
2460469.729,1.981,0.013
2460500.801,1.966,0.001
2460550.795,2.017,0.006
2460551.724,2.016,0.002
2460552.821,1.958,0.003
2460553.709,1.963,0.003
2460554.735,2.011,0.007
2460596.703,1.947,0.004
2460613.614,1.981,0.004
2460622.061,1.992,0.003
2460690.685,2.019,0.006
2460691.595,1.957,0.007
2460692.686,1.963,0.003
2460693.676,2.006,0.006
2460694.609,2.017,0.009
2460700.689,1.963,0.004
2460737.398,1.94,
2460792.73,1.992,0.003
2460793.73,2.029,0.003
2460823.782,1.938,0.006
2460825.783,2.01,0.006
2460828.183,2.3,
2460832.733,2.003,0.001
2460838.778,1.95,0.008
2460867.82,1.988,0.001
2460868.769,1.987,0.002
2460869.756,2.015,0.01
2460870.762,1.948,0.004
2460898.745,1.943,0.001
2460900.784,2.018,0.005
2460901.728,1.984,0.006
2460940.654,2.032,0.009
2460941.651,1.968,0.002
2460942.734,1.942,0.001
2460943.712,1.995,0.009
2460969.69,1.959,0.006
2460970.65,1.977,0.002
2461055.748,2.021,0.011
2461056.674,1.989,0.009
