2456238.263	3.861
2456241.208	3.871
2456247.194	3.387
2456248.31	3.714
2456248.489	3.681
2456250.345	4.156
2456265.264	3.92
2456268.321	3.633
2456275.191	3.698
2456276.231	3.902
2456283.587	4.123
2456284.539	3.494
2456290.327	3.42
2456291.349	3.711
2456292.256	3.961
2456304.202	4.107
2456304.225	4.176
2456305.26	4.15
2456428.793	4.015
2456431.807	3.932
2456436.77	3.807
2456438.698	4.145
2456446.761	3.631
2456451.425	3.542
2456451.744	3.551
2456457.762	3.722
2456460.793	4.162
2456462.764	3.65
2456463.751	3.863
2456476.729	4.204
2456480.756	4.02
2456487.7	4.147
2456488.628	3.405
2456492.761	4.201
2456493.684	3.671
2456497.634	4.116
2456498.636	4
2456506.631	3.827
2456507.846	4.122
2456508.697	4.155
2456509.639	3.762
2456511.61	3.716
2456512.642	3.975
2456515.65	3.424
2456520.624	3.547
2456521.644	3.583
2456528.581	3.916
2456529.578	4.095
2456539.575	3.95
2456541.588	3.967
2456542.745	3.513
2456543.026	3.586
2456545.566	4.061
2456567.57	4.147
2456574.54	3.435
2456585.56	3.463
2456593.538	4.038
2456610.519	4.167
2456633.484	3.425
2456642.475	4.143
2456655.499	3.507
2456656.347	3.585
2456664.199	4.17
2456668.225	3.936
2456670.24	4.058
2456671.216	3.351
2456671.488	3.487
2456698.695	3.49
2456698.697	3.458
2456701.7	4.098
2456712.631	4.103
2456712.633	4.094
2456724.665	3.427
2456725.942	3.682
2456726.663	3.787
2456728.626	4.149
2456730.626	3.393
2456730.628	3.397
2456731.62	3.722
2456737.646	3.892
2456737.65	3.857
2456742.956	3.861
2456745.634	3.86
2456746.636	3.381
2456746.903	3.547
2456750.593	4.089
2456753.874	3.89
2456754.619	4.026
2456764.6	3.867
2456765.576	4.052
2456766.886	4.079
2456773.837	3.555
2456777.528	4.047
2456779.539	3.584
2456781.837	4.128
2456786.469	3.935
2456796.572	3.848
2456799.634	3.584
2456801.808	3.849
2456806.847	3.793
2456807.858	3.99
2456808.557	4.075
2456808.559	4.047
2456814.408	4.162
2456815.479	3.812
2456815.484	3.793
2456816.528	3.457
2456817.416	3.669
2456818.403	3.906
2456819.837	4.166
2456824.391	4.021
2456826.827	3.401
2456831.372	3.929
2456833.398	3.642
2456834.402	3.871
2456836.364	4.117
2456837.398	3.41
2456842.387	3.726
2456842.87	3.479
2456843.797	3.599
2456845.377	3.931
2456848.375	3.414
2456851.369	4.062
2456856.377	3.985
2456857.37	4.155
2456862.357	4.102
2456863.37	4.091
2456864.354	3.35
2456865.345	3.597
2456868.405	4.148
2456871.36	3.76
2456872.632	4.057
2456874.36	3.922
2456878.342	4.052
2456880.327	3.353
2456884.793	4.206
2456886.679	3.623
2456887.317	3.73
2456887.654	3.857
2456888.309	3.948
2456889.674	4.149
2456890.68	3.715
2456892.655	3.784
2456893.661	3.969
2456894.656	4.13
2456897.635	3.656
2456898.642	3.925
2456899.367	4.021
2456900.766	4.18
2456901.584	3.581
2456902.59	3.598
2456906.316	4.086
2456908.616	3.691
2456917.558	3.657
2456918.296	3.422
2456923.57	3.424
2456924.266	3.575
2456924.571	3.708
2456927.586	4.174
2456928.304	3.674
2456929.565	3.613
2456930.288	3.793
2456934.266	3.39
2456936.305	3.877
2456937.285	4.093
2456937.544	4.122
2456940.322	3.544
2456941.26	3.835
2456944.288	3.767
2456948.295	4.119
2456950.263	3.37
2456952.546	3.93
2456953.555	4.115
2456956.538	3.642
2456958.334	4
2456964.221	4.056
2456966.537	3.448
2456998.59	3.421
2457001.238	3.988
2457003.479	3.683
2457018.255	4.126
2457020.475	3.519
2457022.263	3.893
2457081.945	4.02
2457087.936	4.134
2457090.947	3.716
2457093.96	4.236
2457096.944	3.823
2457116.909	3.472
2457138.858	3.595
2457139.868	3.866
2457160.872	3.777
2457184.797	4.169
2457193.716	3.871
2457195.72	4.173
2457201.783	3.927
2457205.755	4.1
2457211.771	4.143
2457214.647	3.821
2457216.647	4.128
2457221.683	4.113
2457222.694	4.222
2457223.769	3.459
2457225.671	3.865
2457227.74	4.197
2457228.693	3.875
2457229.682	3.536
2457233.702	4.117
2457234.765	3.441
2457235.754	3.7
2457250.741	3.481
2457254.377	4.196
2457255.445	3.927
2457255.599	3.757
2457256.703	3.563
2457257.602	3.829
2457258.601	4.032
2457260.356	4.212
2457261.335	3.436
2457261.419	3.414
2457262.355	3.625
2457262.407	3.66
2457263.353	3.922
2457271.331	4.023
2457276.594	4.11
2457278.575	3.682
2457279.591	3.916
2457280.573	4.164
2457285.634	4.011
2457287.324	4.237
2457288.343	3.511
2457289.381	3.772
2457289.66	3.855
2457296.556	4.056
2457297.556	4.19
2457305.54	3.71
2457307.556	4.117
2457312.536	4.044
2457313.532	4.184
2457314.547	3.807
2457321.526	3.691
2457328.535	4.004
2457330.525	3.903
2457331.507	3.449
2457334.526	4.081
2457335.515	4.144
2457336.514	3.405
2457355.485	3.999
2457361.657	4.161
2457363.513	3.359
2457365.523	3.841
2457382.499	3.998
2457388.487	4.131
2457390.493	3.418
2457398.499	4.051
2457406.5	3.408
2457438.64	3.445
2457451.931	4.008
2457476.887	3.609
2457493.827	3.851
2457494.843	3.99
2457495.867	4.181
2457511.802	4.151
2457524.771	3.515
2457526.783	3.976
2457527.776	4.134
2457528.871	4.093
2457531.779	3.935
2457538.775	4.178
2457541.8	3.778
2457542.795	3.998
2457556.756	3.49
2457557.778	3.764
2457560.754	4.231
2457564.726	4.084
2457569.714	3.98
2457573.692	3.726
2457577.654	3.69
2457578.882	3.551
2457579.691	3.867
2457579.875	3.815
2457580.863	4.011
2457581.859	4.147
2457582.855	3.764
2457583.867	3.347
2457585.86	3.976
2457586.628	4.12
2457588.849	3.337
2457595.719	3.858
2457596.643	4.029
2457600.669	3.746
2457601.655	3.957
2457602.685	4.165
2457604.634	3.59
2457606.651	3.918
2457607.662	4.059
2457608.693	4.213
2457609.613	3.966
2457610.617	3.579
2457611.62	3.843
2457614.666	4.142
2457621.617	3.611
2457622.596	3.842
2457623.719	4.021
2457632.598	3.688
2457633.7	3.939
2457634.625	4.075
2457635.627	4.213
2457637.592	3.54
2457640.62	4.154
2457642.626	3.453
2457643.631	3.711
2457647.606	3.514
2457649.601	3.87
2457650.604	4.036
2457657.629	4.08
2457658.612	3.446
